CÓDIGO PRINCIPAL,DESCRIPCIÓN DIAGNÓSTICO PRINCIPAL,CÓDIGO SECUNDARIO,DESCRIPCIÓN DIAGNÓSTICO SECUNDARIO,RATIO
I24,Otras enfermedades isquémicas agudas cardiacas,M77,Otros tipos de entesopatías,1.1550387597
I24,Otras enfermedades isquémicas agudas cardiacas,R40,"Somnolencia, estupor y coma",1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R42,Mareo y desvanecimiento,1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R50,Fiebre de otro origen y de origen desconocido,1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R53,Malestar y fatiga,1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R55,Síncope y colapso,1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R61,Hiperhidrosis generalizada,1.0503875969
I24,Otras enfermedades isquémicas agudas cardiacas,R68,Otros síntomas y signos generales,1.0503875969
I25,Enfermedad isquémica crónica cardiaca,E10,Diabetes mellitus tipo 1,1.0581395349
I25,Enfermedad isquémica crónica cardiaca,E11,Diabetes mellitus tipo 2,1.0581395349
I25,Enfermedad isquémica crónica cardiaca,F93,Trastornos emocionales con inicio específico en la infancia,1.0620155039
I25,Enfermedad isquémica crónica cardiaca,I20,Angina de pecho ,1.0465116279
I26,Embolia pulmonar,I74,Embolia y trombosis arterial,1.0658914729
I42,Miocardiopatía,E10,Diabetes mellitus tipo 1,1.023255814
I42,Miocardiopatía,E11,Diabetes mellitus tipo 2,1.023255814
I42,Miocardiopatía,F93,Trastornos emocionales con inicio específico en la infancia,1.0348837209
I42,Miocardiopatía,I20,Angina de pecho,1.007751938
I42,Miocardiopatía,I24,Otras enfermedades isquémicas agudas cardiacas,1.007751938
I42,Miocardiopatía,I46,Paro cardiaco,1.0271317829
I42,Miocardiopatía,I47,Taquicardia paroxística,1.0271317829
I42,Miocardiopatía,I48,Fibrilación y flutter auricular,1.0271317829
I42,Miocardiopatía,I49,Otras arritmias cardiacas,1.0271317829
I42,Miocardiopatía,I50,Insuficiencia cardiaca,1.023255814
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,E10,Diabetes mellitus tipo 1,1.023255814
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,E11,Diabetes mellitus tipo 2,1.023255814
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,F93,Trastornos emocionales con inicio específico en la infancia,1.0348837209
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,I20,Angina de pecho,1.007751938
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,I24,Otras enfermedades isquémicas agudas cardiacas,1.007751938
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,I46,Paro cardiaco,1.0271317829
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,I47,Taquicardia paroxística,1.0271317829
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,I48,Fibrilación y flutter auricular,1.0271317829
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,I49,Otras arritmias cardiacas,1.0271317829
I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,I50,Insuficiencia cardiaca,1.023255814
I46,Paro cardiaco,F93,Trastornos emocionales con inicio específico en la infancia,1.0542635659
I46,Paro cardiaco,G47,Trastornos del sueño,1.0697674419
I46,Paro cardiaco,I05,Enfermedades reumáticas de válvula mitral,1.1046511628
I46,Paro cardiaco,I10,Hipertensión esencial (primaria),1.0426356589
I46,Paro cardiaco,I42,Miocardiopatía,1.0697674419
I46,Paro cardiaco,I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,1.0697674419
I46,Paro cardiaco,M15,Poliartrosis,1.1511627907
I46,Paro cardiaco,M16,Artrosis de cadera,1.1511627907
I46,Paro cardiaco,M17,Artrosis de rodilla,1.1511627907
I46,Paro cardiaco,M18,Artrosis de primera articulación carpometacarpiana,1.1511627907
I46,Paro cardiaco,M19,Otras artrosis y las no especificadas,1.1511627907
I46,Paro cardiaco,M50,Trastornos de disco cervical,1.1589147287
I46,Paro cardiaco,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.1589147287
I46,Paro cardiaco,R05,Tos,1.1705426357
I46,Paro cardiaco,R06,Alteraciones de la respiración,1.1705426357
I46,Paro cardiaco,R40,"Somnolencia, estupor y coma",1.0697674419
I46,Paro cardiaco,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0697674419
I46,Paro cardiaco,R42,Mareo y desvanecimiento,1.0697674419
I46,Paro cardiaco,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0697674419
I46,Paro cardiaco,R50,Fiebre de otro origen y de origen desconocido,1.0697674419
I46,Paro cardiaco,R53,Malestar y fatiga,1.0697674419
I46,Paro cardiaco,R55,Síncope y colapso,1.0697674419
I46,Paro cardiaco,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0697674419
I46,Paro cardiaco,R61,Hiperhidrosis generalizada,1.0697674419
I46,Paro cardiaco,R68,Otros síntomas y signos generales,1.0697674419
I47,Taquicardia paroxística,F93,Trastornos emocionales con inicio específico en la infancia,1.0542635659
I47,Taquicardia paroxística,G47,Trastornos del sueño,1.0697674419
I47,Taquicardia paroxística,I05,Enfermedades reumáticas de válvula mitral,1.1046511628
I47,Taquicardia paroxística,I10,Hipertensión esencial (primaria),1.0426356589
I47,Taquicardia paroxística,I42,Miocardiopatía,1.0697674419
I47,Taquicardia paroxística,I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,1.0697674419
I47,Taquicardia paroxística,M15,Poliartrosis,1.1511627907
I47,Taquicardia paroxística,M16,Artrosis de cadera,1.1511627907
I47,Taquicardia paroxística,M17,Artrosis de rodilla,1.1511627907
I47,Taquicardia paroxística,M18,Artrosis de primera articulación carpometacarpiana,1.1511627907
I47,Taquicardia paroxística,M19,Otras artrosis y las no especificadas,1.1511627907
I47,Taquicardia paroxística,M50,Trastornos de disco cervical,1.1589147287
I47,Taquicardia paroxística,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.1589147287
I47,Taquicardia paroxística,R05,Tos,1.1705426357
I47,Taquicardia paroxística,R06,Alteraciones de la respiración,1.1705426357
I47,Taquicardia paroxística,R40,"Somnolencia, estupor y coma",1.0697674419
I47,Taquicardia paroxística,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0697674419
I47,Taquicardia paroxística,R42,Mareo y desvanecimiento,1.0697674419
I47,Taquicardia paroxística,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0697674419
I47,Taquicardia paroxística,R50,Fiebre de otro origen y de origen desconocido,1.0697674419
I47,Taquicardia paroxística,R53,Malestar y fatiga,1.0697674419
I47,Taquicardia paroxística,R55,Síncope y colapso,1.0697674419
I47,Taquicardia paroxística,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0697674419
I47,Taquicardia paroxística,R61,Hiperhidrosis generalizada,1.0697674419
I47,Taquicardia paroxística,R68,Otros síntomas y signos generales,1.0697674419
I48,Fibrilación y flutter auricular,F93,Trastornos emocionales con inicio específico en la infancia,1.0542635659
I48,Fibrilación y flutter auricular,G47,Trastornos del sueño,1.0697674419
I48,Fibrilación y flutter auricular,I05,Enfermedades reumáticas de válvula mitral,1.1046511628
I48,Fibrilación y flutter auricular,I10,Hipertensión esencial (primaria),1.0426356589
I48,Fibrilación y flutter auricular,I42,Miocardiopatía,1.0697674419
I48,Fibrilación y flutter auricular,I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,1.0697674419
I48,Fibrilación y flutter auricular,M15,Poliartrosis,1.1511627907
I48,Fibrilación y flutter auricular,M16,Artrosis de cadera,1.1511627907
I48,Fibrilación y flutter auricular,M17,Artrosis de rodilla,1.1511627907
I48,Fibrilación y flutter auricular,M18,Artrosis de primera articulación carpometacarpiana,1.1511627907
I48,Fibrilación y flutter auricular,M19,Otras artrosis y las no especificadas,1.1511627907
I48,Fibrilación y flutter auricular,M50,Trastornos de disco cervical,1.1589147287
I48,Fibrilación y flutter auricular,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.1589147287
I48,Fibrilación y flutter auricular,R05,Tos,1.1705426357
I48,Fibrilación y flutter auricular,R06,Alteraciones de la respiración,1.1705426357
I48,Fibrilación y flutter auricular,R40,"Somnolencia, estupor y coma",1.0697674419
I48,Fibrilación y flutter auricular,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0697674419
I48,Fibrilación y flutter auricular,R42,Mareo y desvanecimiento,1.0697674419
I48,Fibrilación y flutter auricular,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0697674419
I48,Fibrilación y flutter auricular,R50,Fiebre de otro origen y de origen desconocido,1.0697674419
I48,Fibrilación y flutter auricular,R53,Malestar y fatiga,1.0697674419
I48,Fibrilación y flutter auricular,R55,Síncope y colapso,1.0697674419
I48,Fibrilación y flutter auricular,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0697674419
I48,Fibrilación y flutter auricular,R61,Hiperhidrosis generalizada,1.0697674419
I48,Fibrilación y flutter auricular,R68,Otros síntomas y signos generales,1.0697674419
I49,Otras arritmias cardiacas,F93,Trastornos emocionales con inicio específico en la infancia,1.0542635659
I49,Otras arritmias cardiacas,G47,Trastornos del sueño,1.0697674419
I49,Otras arritmias cardiacas,I05,Enfermedades reumáticas de válvula mitral,1.1046511628
I49,Otras arritmias cardiacas,I10,Hipertensión esencial (primaria),1.0426356589
I49,Otras arritmias cardiacas,I42,Miocardiopatía,1.0697674419
I49,Otras arritmias cardiacas,I43,Miocardiopatía en enfermedades clasificadas bajo otro concepto,1.0697674419
I49,Otras arritmias cardiacas,M15,Poliartrosis,1.1511627907
I49,Otras arritmias cardiacas,M16,Artrosis de cadera,1.1511627907
I49,Otras arritmias cardiacas,M17,Artrosis de rodilla,1.1511627907
I49,Otras arritmias cardiacas,M18,Artrosis de primera articulación carpometacarpiana,1.1511627907
I49,Otras arritmias cardiacas,M19,Otras artrosis y las no especificadas,1.1511627907
I49,Otras arritmias cardiacas,M50,Trastornos de disco cervical,1.1589147287
I49,Otras arritmias cardiacas,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.1589147287
I49,Otras arritmias cardiacas,R05,Tos,1.1705426357
I49,Otras arritmias cardiacas,R06,Alteraciones de la respiración,1.1705426357
I49,Otras arritmias cardiacas,R40,"Somnolencia, estupor y coma",1.0697674419
I49,Otras arritmias cardiacas,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0697674419
I49,Otras arritmias cardiacas,R42,Mareo y desvanecimiento,1.0697674419
I49,Otras arritmias cardiacas,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0697674419
I49,Otras arritmias cardiacas,R50,Fiebre de otro origen y de origen desconocido,1.0697674419
I49,Otras arritmias cardiacas,R53,Malestar y fatiga,1.0697674419
I49,Otras arritmias cardiacas,R55,Síncope y colapso,1.0697674419
I49,Otras arritmias cardiacas,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0697674419
I49,Otras arritmias cardiacas,R61,Hiperhidrosis generalizada,1.0697674419
I49,Otras arritmias cardiacas,R68,Otros síntomas y signos generales,1.0697674419
I50,Insuficiencia cardiaca,I46,Paro cardiaco,1.007751938
I50,Insuficiencia cardiaca,I47,Taquicardia paroxística,1.007751938
I50,Insuficiencia cardiaca,I48,Fibrilación y flutter auricular,1.007751938
I50,Insuficiencia cardiaca,I49,Otras arritmias cardiacas,1.007751938
I61,Hemorragia intracerebral no traumática,G81,Hemiplejia y hemiparesia,1.0736434109
I61,Hemorragia intracerebral no traumática,I10,Hipertensión esencial (primaria),1.003875969
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",E10,Diabetes mellitus tipo 1,1.0658914729
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",E11,Diabetes mellitus tipo 2,1.0658914729
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",F93,Trastornos emocionales con inicio específico en la infancia,1.0426356589
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",G40,Epilepsia y crisis epilépticas recurrentes,1.0697674419
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",G81,Hemiplejia y hemiparesia,1.0658914729
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",I10,Hipertensión esencial (primaria),1.007751938
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",R04,Hemorragia de las vías respiratorias,1.0968992248
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",R07,Dolor de garganta y de tórax,1.0968992248
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",R47,"Alteraciones del habla, no clasificadas bajo otro concepto",1.0968992248
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",R49,Trastornos de la voz y la resonancia,1.0968992248
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",R51,Cefalea,1.0968992248
I66,"Oclusión y estenosis de arterias cerebrales, que no produce infarto cerebral",R90,Hallazgos anormales en diagnóstico por imagen del sistema nervioso central,1.0968992248
I68,Trastornos cerebrovasculares en enfermedades clasificadas bajo otro concepto,F93,Trastornos emocionales con inicio específico en la infancia,1.0775193798
I70,Aterosclerosis,M50,Trastornos de disco cervical,1.0658914729
I70,Aterosclerosis,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.0658914729
J41,Bronquitis crónica simple y mucopurulenta,G47,Trastornos del sueño,1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R40,"Somnolencia, estupor y coma",1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R42,Mareo y desvanecimiento,1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R50,Fiebre de otro origen y de origen desconocido,1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R53,Malestar y fatiga,1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R55,Síncope y colapso,1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R61,Hiperhidrosis generalizada,1.0348837209
J41,Bronquitis crónica simple y mucopurulenta,R68,Otros síntomas y signos generales,1.0348837209
J42,Bronquitis crónica no especificada,G47,Trastornos del sueño,1.0348837209
J42,Bronquitis crónica no especificada,R40,"Somnolencia, estupor y coma",1.0348837209
J42,Bronquitis crónica no especificada,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0348837209
J42,Bronquitis crónica no especificada,R42,Mareo y desvanecimiento,1.0348837209
J42,Bronquitis crónica no especificada,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0348837209
J42,Bronquitis crónica no especificada,R50,Fiebre de otro origen y de origen desconocido,1.0348837209
J42,Bronquitis crónica no especificada,R53,Malestar y fatiga,1.0348837209
J42,Bronquitis crónica no especificada,R55,Síncope y colapso,1.0348837209
J42,Bronquitis crónica no especificada,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0348837209
J42,Bronquitis crónica no especificada,R61,Hiperhidrosis generalizada,1.0348837209
J42,Bronquitis crónica no especificada,R68,Otros síntomas y signos generales,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,G47,Trastornos del sueño,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R40,"Somnolencia, estupor y coma",1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R42,Mareo y desvanecimiento,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R50,Fiebre de otro origen y de origen desconocido,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R53,Malestar y fatiga,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R55,Síncope y colapso,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R61,Hiperhidrosis generalizada,1.0348837209
J44,Otras enfermedades pulmonares obstructivas crónicas,R68,Otros síntomas y signos generales,1.0348837209
J45,Asma,F93,Trastornos emocionales con inicio específico en la infancia,1.1937984496
J45,Asma,G47,Trastornos del sueño,1.1782945736
J45,Asma,R40,"Somnolencia, estupor y coma",1.1782945736
J45,Asma,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.1782945736
J45,Asma,R42,Mareo y desvanecimiento,1.1782945736
J45,Asma,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.1782945736
J45,Asma,R50,Fiebre de otro origen y de origen desconocido,1.1782945736
J45,Asma,R53,Malestar y fatiga,1.1782945736
J45,Asma,R55,Síncope y colapso,1.1782945736
J45,Asma,R56,"Convulsiones, no clasificadas bajo otro concepto",1.1782945736
J45,Asma,R61,Hiperhidrosis generalizada,1.1782945736
J45,Asma,R68,Otros síntomas y signos generales,1.1782945736
K40,Hernia inguinal,K41,Hernia femoral,1.007751938
K40,Hernia inguinal,M48,Otras espondilopatías,1.2635658915
K40,Hernia inguinal,M50,Trastornos de disco cervical,1.3798449612
K40,Hernia inguinal,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.3798449612
K41,Hernia femoral,E65,Adiposidad localizada,1.3682170543
K41,Hernia femoral,E66,Sobrepeso y obesidad,1.3682170543
K41,Hernia femoral,E67,Otros tipos de hiperalimentación,1.3682170543
K41,Hernia femoral,E68,Secuelas de hiperalimentación,1.3682170543
K41,Hernia femoral,M48,Otras espondilopatías,1.2015503876
K41,Hernia femoral,M50,Trastornos de disco cervical,1.3759689922
K41,Hernia femoral,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.3759689922
K50,Enfermedad de Crohn [enteritis regional],F93,Trastornos emocionales con inicio específico en la infancia,1.0620155039
K50,Enfermedad de Crohn [enteritis regional],K60,Fisura y fístula de las regiones anal y rectal,1.1240310078
K51,Colitis ulcerosa,F93,Trastornos emocionales con inicio específico en la infancia,1.0813953488
K70,Enfermedad alcohólica de hígado,C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,1.023255814
K70,Enfermedad alcohólica de hígado,F10,Trastornos relacionados con alcohol,1.0697674419
K70,Enfermedad alcohólica de hígado,F32,"Trastorno depresivo, episodio único ",1.1007751938
K70,Enfermedad alcohólica de hígado,F93,Trastornos emocionales con inicio específico en la infancia,1.0736434109
K70,Enfermedad alcohólica de hígado,I85,Várices esofágicas,1.019379845
K70,Enfermedad alcohólica de hígado,I86,Venas varicosas de otras localizaciones,1.019379845
K70,Enfermedad alcohólica de hígado,K75,Otras enfermedades inflamatorias de hígado,1.019379845
K73,"Hepatitis crónica, no clasificada bajo otro concepto",C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,1.023255814
K73,"Hepatitis crónica, no clasificada bajo otro concepto",F10,Trastornos relacionados con alcohol,1.0697674419
K73,"Hepatitis crónica, no clasificada bajo otro concepto",F32,"Trastorno depresivo, episodio único ",1.1007751938
K73,"Hepatitis crónica, no clasificada bajo otro concepto",F93,Trastornos emocionales con inicio específico en la infancia,1.0736434109
K73,"Hepatitis crónica, no clasificada bajo otro concepto",I85,Várices esofágicas,1.019379845
K73,"Hepatitis crónica, no clasificada bajo otro concepto",I86,Venas varicosas de otras localizaciones,1.019379845
K73,"Hepatitis crónica, no clasificada bajo otro concepto",K75,Otras enfermedades inflamatorias de hígado,1.019379845
K74,Fibrosis y cirrosis de hígado,C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,1.023255814
K74,Fibrosis y cirrosis de hígado,F10,Trastornos relacionados con alcohol,1.0697674419
K74,Fibrosis y cirrosis de hígado,F32,"Trastorno depresivo, episodio único ",1.1007751938
K74,Fibrosis y cirrosis de hígado,F93,Trastornos emocionales con inicio específico en la infancia,1.0736434109
K74,Fibrosis y cirrosis de hígado,I85,Várices esofágicas,1.019379845
K74,Fibrosis y cirrosis de hígado,I86,Venas varicosas de otras localizaciones,1.019379845
K74,Fibrosis y cirrosis de hígado,K75,Otras enfermedades inflamatorias de hígado,1.019379845
K76,Otras enfermedades de hígado,C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,1.023255814
K76,Otras enfermedades de hígado,F10,Trastornos relacionados con alcohol,1.0697674419
K76,Otras enfermedades de hígado,F32,"Trastorno depresivo, episodio único ",1.1007751938
K76,Otras enfermedades de hígado,F93,Trastornos emocionales con inicio específico en la infancia,1.0736434109
K76,Otras enfermedades de hígado,I85,Várices esofágicas,1.019379845
K76,Otras enfermedades de hígado,I86,Venas varicosas de otras localizaciones,1.019379845
K76,Otras enfermedades de hígado,K75,Otras enfermedades inflamatorias de hígado,1.019379845
K85,Pancreatitis aguda,E10,Diabetes mellitus tipo 1,1.1085271318
K85,Pancreatitis aguda,E11,Diabetes mellitus tipo 2,1.1085271318
K86,Otras enfermedades de páncreas,E10,Diabetes mellitus tipo 1,1.1085271318
K86,Otras enfermedades de páncreas,E11,Diabetes mellitus tipo 2,1.1085271318
L40,Psoriasis,F93,Trastornos emocionales con inicio específico en la infancia,1.0775193798
L41,Parapsoriasis,F93,Trastornos emocionales con inicio específico en la infancia,1.0775193798
L42,Pitiriasis rosada,F93,Trastornos emocionales con inicio específico en la infancia,1.0775193798
L44,Otros trastornos papuloescamosos,F93,Trastornos emocionales con inicio específico en la infancia,1.0775193798
L45,Trastornos papuloescamosos en enfermedades clasificadas bajo otro concepto,F93,Trastornos emocionales con inicio específico en la infancia,1.0775193798
L89,Úlcera por presión,E10,Diabetes mellitus tipo 1,1.019379845
L89,Úlcera por presión,E11,Diabetes mellitus tipo 2,1.019379845
L97,"Úlcera crónica no debida a presión de extremidad inferior, no clasificada bajo otro concepto",E10,Diabetes mellitus tipo 1,1.019379845
L97,"Úlcera crónica no debida a presión de extremidad inferior, no clasificada bajo otro concepto",E11,Diabetes mellitus tipo 2,1.019379845
M05,Artritis reumatoide con factor reumatoide,F32,"Trastorno depresivo, episodio único ",1.019379845
M05,Artritis reumatoide con factor reumatoide,F93,Trastornos emocionales con inicio específico en la infancia,1.0426356589
M05,Artritis reumatoide con factor reumatoide,G56,Mononeuropatías de extremidad superior,1.1046511628
M05,Artritis reumatoide con factor reumatoide,G58,Otras mononeuropatías,1.1046511628
M05,Artritis reumatoide con factor reumatoide,M15,Poliartrosis,1.0426356589
M05,Artritis reumatoide con factor reumatoide,M16,Artrosis de cadera,1.0426356589
M05,Artritis reumatoide con factor reumatoide,M17,Artrosis de rodilla,1.0426356589
M05,Artritis reumatoide con factor reumatoide,M18,Artrosis de primera articulación carpometacarpiana,1.0426356589
M05,Artritis reumatoide con factor reumatoide,M19,Otras artrosis y las no especificadas,1.0426356589
M05,Artritis reumatoide con factor reumatoide,M23,Trastorno interno de rodilla,1.0503875969
M05,Artritis reumatoide con factor reumatoide,M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",1.0310077519
M05,Artritis reumatoide con factor reumatoide,M48,Otras espondilopatías,1.0348837209
M05,Artritis reumatoide con factor reumatoide,M50,Trastornos de disco cervical,1.0775193798
M05,Artritis reumatoide con factor reumatoide,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.0775193798
M05,Artritis reumatoide con factor reumatoide,M60,Miositis,1.0813953488
M05,Artritis reumatoide con factor reumatoide,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0581395349
M05,Artritis reumatoide con factor reumatoide,M75,Lesiones de hombro,1.0581395349
M05,Artritis reumatoide con factor reumatoide,M76,"Entesopatías, extremidad inferior, excluido el pie",1.0581395349
M05,Artritis reumatoide con factor reumatoide,M77,Otros tipos de entesopatías,1.0581395349
M05,Artritis reumatoide con factor reumatoide,M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",1.0813953488
M06,Otros tipos de artritis reumatoide,F32,"Trastorno depresivo, episodio único ",1.019379845
M06,Otros tipos de artritis reumatoide,F93,Trastornos emocionales con inicio específico en la infancia,1.0426356589
M06,Otros tipos de artritis reumatoide,G56,Mononeuropatías de extremidad superior,1.1046511628
M06,Otros tipos de artritis reumatoide,G58,Otras mononeuropatías,1.1046511628
M06,Otros tipos de artritis reumatoide,M15,Poliartrosis,1.0426356589
M06,Otros tipos de artritis reumatoide,M16,Artrosis de cadera,1.0426356589
M06,Otros tipos de artritis reumatoide,M17,Artrosis de rodilla,1.0426356589
M06,Otros tipos de artritis reumatoide,M18,Artrosis de primera articulación carpometacarpiana,1.0426356589
M06,Otros tipos de artritis reumatoide,M19,Otras artrosis y las no especificadas,1.0426356589
M06,Otros tipos de artritis reumatoide,M23,Trastorno interno de rodilla,1.0503875969
M06,Otros tipos de artritis reumatoide,M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",1.0310077519
M06,Otros tipos de artritis reumatoide,M48,Otras espondilopatías,1.0348837209
M06,Otros tipos de artritis reumatoide,M50,Trastornos de disco cervical,1.0775193798
M06,Otros tipos de artritis reumatoide,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.0775193798
M06,Otros tipos de artritis reumatoide,M60,Miositis,1.0813953488
M06,Otros tipos de artritis reumatoide,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0581395349
M06,Otros tipos de artritis reumatoide,M75,Lesiones de hombro,1.0581395349
M06,Otros tipos de artritis reumatoide,M76,"Entesopatías, extremidad inferior, excluido el pie",1.0581395349
M06,Otros tipos de artritis reumatoide,M77,Otros tipos de entesopatías,1.0581395349
M06,Otros tipos de artritis reumatoide,M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",1.0813953488
M08,Artritis juvenil,F32,"Trastorno depresivo, episodio único ",1.019379845
M08,Artritis juvenil,F93,Trastornos emocionales con inicio específico en la infancia,1.0426356589
M08,Artritis juvenil,G56,Mononeuropatías de extremidad superior,1.1046511628
M08,Artritis juvenil,G58,Otras mononeuropatías,1.1046511628
M08,Artritis juvenil,M15,Poliartrosis,1.0426356589
M08,Artritis juvenil,M16,Artrosis de cadera,1.0426356589
M08,Artritis juvenil,M17,Artrosis de rodilla,1.0426356589
M08,Artritis juvenil,M18,Artrosis de primera articulación carpometacarpiana,1.0426356589
M08,Artritis juvenil,M19,Otras artrosis y las no especificadas,1.0426356589
M08,Artritis juvenil,M23,Trastorno interno de rodilla,1.0503875969
M08,Artritis juvenil,M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",1.0310077519
M08,Artritis juvenil,M48,Otras espondilopatías,1.0348837209
M08,Artritis juvenil,M50,Trastornos de disco cervical,1.0775193798
M08,Artritis juvenil,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.0775193798
