CÓDIGO,DESCRIPCIÓN,GRUPO EDAD,RATIO
L23,Dermatitis alérgica de contacto,36-45,0.96
L23,Dermatitis alérgica de contacto,46-55,1.15
L23,Dermatitis alérgica de contacto,56-65,1.49
L24,Dermatitis de contacto irritativa,16-25,0.64
L24,Dermatitis de contacto irritativa,26-35,0.77
L24,Dermatitis de contacto irritativa,36-45,0.96
L24,Dermatitis de contacto irritativa,46-55,1.15
L24,Dermatitis de contacto irritativa,56-65,1.49
L25,Dermatitis de contacto no especificada,16-25,0.64
L25,Dermatitis de contacto no especificada,26-35,0.77
L25,Dermatitis de contacto no especificada,36-45,0.96
L25,Dermatitis de contacto no especificada,46-55,1.15
L25,Dermatitis de contacto no especificada,56-65,1.49
L26,Dermatitis exfoliativa,16-25,0.57
L26,Dermatitis exfoliativa,26-35,0.88
L26,Dermatitis exfoliativa,36-45,0.96
L26,Dermatitis exfoliativa,46-55,1.12
L26,Dermatitis exfoliativa,56-65,1.38
L27,Dermatitis debida a sustancias ingeridas,26-35,0.48
L27,Dermatitis debida a sustancias ingeridas,36-45,0.6
L27,Dermatitis debida a sustancias ingeridas,46-55,1.17
L27,Dermatitis debida a sustancias ingeridas,56-65,2.49
L28,Liquen simple crónico y prurigo,16-25,0.37
L28,Liquen simple crónico y prurigo,26-35,0.98
L28,Liquen simple crónico y prurigo,36-45,0.83
L28,Liquen simple crónico y prurigo,46-55,1.31
L28,Liquen simple crónico y prurigo,56-65,1.37
L29,Prurito,16-25,0.37
L29,Prurito,26-35,0.98
L29,Prurito,36-45,0.83
L29,Prurito,46-55,1.31
L29,Prurito,56-65,1.37
L30,Otras dermatitis y las no especificadas,16-25,0.64
L30,Otras dermatitis y las no especificadas,26-35,0.77
L30,Otras dermatitis y las no especificadas,36-45,0.96
L30,Otras dermatitis y las no especificadas,46-55,1.15
L30,Otras dermatitis y las no especificadas,56-65,1.49
L40,Psoriasis,16-25,0.44
L40,Psoriasis,26-35,0.72
L40,Psoriasis,36-45,0.83
L40,Psoriasis,46-55,1.1
L40,Psoriasis,56-65,1.31
L41,Parapsoriasis,16-25,0.44
L41,Parapsoriasis,26-35,0.72
L41,Parapsoriasis,36-45,0.83
L41,Parapsoriasis,46-55,1.1
L41,Parapsoriasis,56-65,1.31
L42,Pitiriasis rosada,16-25,0.44
L42,Pitiriasis rosada,26-35,0.72
L42,Pitiriasis rosada,36-45,0.83
L42,Pitiriasis rosada,46-55,1.1
L42,Pitiriasis rosada,56-65,1.31
L43,Liquen plano,26-35,0.58
L43,Liquen plano,36-45,0.72
L43,Liquen plano,46-55,1.06
L43,Liquen plano,56-65,1.52
L44,Otros trastornos papuloescamosos,16-25,0.44
L44,Otros trastornos papuloescamosos,26-35,0.72
L44,Otros trastornos papuloescamosos,36-45,0.83
L44,Otros trastornos papuloescamosos,46-55,1.1
L44,Otros trastornos papuloescamosos,56-65,1.31
L50,Urticaria,16-25,0.5
L50,Urticaria,26-35,0.71
L50,Urticaria,36-45,0.99
L50,Urticaria,46-55,1.26
L50,Urticaria,56-65,1.81
L51,Eritema multiforme,16-25,0.57
L51,Eritema multiforme,26-35,0.88
L51,Eritema multiforme,36-45,0.96
L51,Eritema multiforme,46-55,1.12
L51,Eritema multiforme,56-65,1.38
L52,Eritema nodoso,16-25,0.57
L52,Eritema nodoso,26-35,0.88
L52,Eritema nodoso,36-45,0.96
L52,Eritema nodoso,46-55,1.12
L52,Eritema nodoso,56-65,1.38
L53,Otras afecciones eritematosas,16-25,0.57
L53,Otras afecciones eritematosas,26-35,0.88
L53,Otras afecciones eritematosas,36-45,0.96
L53,Otras afecciones eritematosas,46-55,1.12
L53,Otras afecciones eritematosas,56-65,1.38
L55,Quemadura solar,16-25,0.64
L55,Quemadura solar,26-35,0.77
L55,Quemadura solar,36-45,0.96
L55,Quemadura solar,46-55,1.15
L55,Quemadura solar,56-65,1.49
L56,Otras alteraciones agudas de la piel debidas a radiación ultravioleta,16-25,0.64
L56,Otras alteraciones agudas de la piel debidas a radiación ultravioleta,26-35,0.77
L56,Otras alteraciones agudas de la piel debidas a radiación ultravioleta,36-45,0.96
L56,Otras alteraciones agudas de la piel debidas a radiación ultravioleta,46-55,1.15
L56,Otras alteraciones agudas de la piel debidas a radiación ultravioleta,56-65,1.49
L57,Alteraciones de la piel debidas a la exposición crónica a radiación no ionizante,26-35,0.92
L57,Alteraciones de la piel debidas a la exposición crónica a radiación no ionizante,36-45,0.79
L57,Alteraciones de la piel debidas a la exposición crónica a radiación no ionizante,46-55,0.98
L57,Alteraciones de la piel debidas a la exposición crónica a radiación no ionizante,56-65,1.22
L58,Radiodermatitis,16-25,0.64
L58,Radiodermatitis,26-35,0.77
L58,Radiodermatitis,36-45,0.96
L58,Radiodermatitis,46-55,1.15
L58,Radiodermatitis,56-65,1.49
L59,Otros trastornos de la piel y del tejido subcutáneo relacionados con la radiación,16-25,0.64
L59,Otros trastornos de la piel y del tejido subcutáneo relacionados con la radiación,26-35,0.77
L59,Otros trastornos de la piel y del tejido subcutáneo relacionados con la radiación,36-45,0.96
L59,Otros trastornos de la piel y del tejido subcutáneo relacionados con la radiación,46-55,1.15
L59,Otros trastornos de la piel y del tejido subcutáneo relacionados con la radiación,56-65,1.49
L60,Trastornos de las uñas,16-25,0.79
L60,Trastornos de las uñas,26-35,0.82
L60,Trastornos de las uñas,36-45,0.95
L60,Trastornos de las uñas,46-55,1.14
L60,Trastornos de las uñas,56-65,1.35
L63,Alopecia areata,16-25,0.59
L63,Alopecia areata,26-35,0.84
L63,Alopecia areata,36-45,1.01
L63,Alopecia areata,46-55,1.37
L63,Alopecia areata,56-65,1.38
L65,Otra pérdida de pelo no cicatricial ,16-25,0.59
L65,Otra pérdida de pelo no cicatricial ,26-35,0.84
L65,Otra pérdida de pelo no cicatricial ,36-45,1.01
L65,Otra pérdida de pelo no cicatricial ,46-55,1.37
L65,Otra pérdida de pelo no cicatricial ,56-65,1.38
L66,Alopecia cicatricial [pérdida cicatricial del cabello],16-25,0.59
L66,Alopecia cicatricial [pérdida cicatricial del cabello],26-35,0.84
L66,Alopecia cicatricial [pérdida cicatricial del cabello],36-45,1.01
L66,Alopecia cicatricial [pérdida cicatricial del cabello],46-55,1.37
L66,Alopecia cicatricial [pérdida cicatricial del cabello],56-65,1.38
L67,Anormalidades del color y del tallo del pelo,16-25,0.59
L67,Anormalidades del color y del tallo del pelo,26-35,0.84
L67,Anormalidades del color y del tallo del pelo,36-45,1.01
L67,Anormalidades del color y del tallo del pelo,46-55,1.37
L67,Anormalidades del color y del tallo del pelo,56-65,1.38
L70,Acné,16-25,1.01
L70,Acné,26-35,0.95
L70,Acné,36-45,0.93
L70,Acné,46-55,1.03
L70,Acné,56-65,1.2
L71,Rosácea,16-25,0.57
L71,Rosácea,26-35,0.88
L71,Rosácea,36-45,0.96
L71,Rosácea,46-55,1.12
L71,Rosácea,56-65,1.38
L72,Quistes foliculares de la piel y del tejido subcutáneo,16-25,1.01
L72,Quistes foliculares de la piel y del tejido subcutáneo,26-35,0.95
L72,Quistes foliculares de la piel y del tejido subcutáneo,36-45,0.93
L72,Quistes foliculares de la piel y del tejido subcutáneo,46-55,1.03
L72,Quistes foliculares de la piel y del tejido subcutáneo,56-65,1.2
L73,Otros trastornos foliculares,16-25,1.01
L73,Otros trastornos foliculares,26-35,0.95
L73,Otros trastornos foliculares,36-45,0.93
L73,Otros trastornos foliculares,46-55,1.03
L73,Otros trastornos foliculares,56-65,1.2
L74,Trastornos sudoríparos ecrinos,16-25,0.67
L74,Trastornos sudoríparos ecrinos,26-35,0.79
L74,Trastornos sudoríparos ecrinos,36-45,1.03
L74,Trastornos sudoríparos ecrinos,46-55,1.29
L74,Trastornos sudoríparos ecrinos,56-65,1.62
L80,Vitíligo,16-25,0.64
L80,Vitíligo,26-35,0.82
L80,Vitíligo,36-45,0.88
L80,Vitíligo,46-55,1.15
L80,Vitíligo,56-65,1.38
L81,Otros trastornos de la pigmentación,16-25,0.64
L81,Otros trastornos de la pigmentación,26-35,0.82
L81,Otros trastornos de la pigmentación,36-45,0.88
L81,Otros trastornos de la pigmentación,46-55,1.15
L81,Otros trastornos de la pigmentación,56-65,1.38
L82,Queratosis seborreica,26-35,0.92
L82,Queratosis seborreica,36-45,0.79
L82,Queratosis seborreica,46-55,0.98
L82,Queratosis seborreica,56-65,1.22
L83,Acantosis nigricans,16-25,0.67
L83,Acantosis nigricans,26-35,0.85
L83,Acantosis nigricans,36-45,0.86
L83,Acantosis nigricans,46-55,1.07
L83,Acantosis nigricans,56-65,1.46
L84,Callos y callosidades,16-25,1
L84,Callos y callosidades,26-35,0.64
L84,Callos y callosidades,36-45,0.84
L84,Callos y callosidades,46-55,1.14
L84,Callos y callosidades,56-65,1.58
L85,Otros tipos de engrosamiento epidérmico,16-25,0.67
L85,Otros tipos de engrosamiento epidérmico,26-35,0.85
L85,Otros tipos de engrosamiento epidérmico,36-45,0.86
L85,Otros tipos de engrosamiento epidérmico,46-55,1.07
L85,Otros tipos de engrosamiento epidérmico,56-65,1.46
L88,Pioderma gangrenoso,16-25,0.66
L88,Pioderma gangrenoso,26-35,0.79
L88,Pioderma gangrenoso,36-45,0.86
L88,Pioderma gangrenoso,46-55,1.19
L88,Pioderma gangrenoso,56-65,1.63
L89,Úlcera por presión,16-25,0.28
L89,Úlcera por presión,26-35,0.6
L89,Úlcera por presión,36-45,0.84
L89,Úlcera por presión,46-55,1.06
L89,Úlcera por presión,56-65,1.25
L91,Trastornos hipertróficos de la piel,16-25,0.67
L91,Trastornos hipertróficos de la piel,26-35,0.85
L91,Trastornos hipertróficos de la piel,36-45,0.86
L91,Trastornos hipertróficos de la piel,46-55,1.07
L91,Trastornos hipertróficos de la piel,56-65,1.46
L93,Lupus eritematoso,16-25,0.57
L93,Lupus eritematoso,26-35,0.88
L93,Lupus eritematoso,36-45,0.96
L93,Lupus eritematoso,46-55,1.12
L93,Lupus eritematoso,56-65,1.38
L94,Otros trastornos localizados del tejido conjuntivo,16-25,0.67
L94,Otros trastornos localizados del tejido conjuntivo,26-35,0.85
L94,Otros trastornos localizados del tejido conjuntivo,36-45,0.86
L94,Otros trastornos localizados del tejido conjuntivo,46-55,1.07
L94,Otros trastornos localizados del tejido conjuntivo,56-65,1.46
L95,"Vasculitis limitada a la piel, no clasificada bajo otro concepto",16-25,0.64
L95,"Vasculitis limitada a la piel, no clasificada bajo otro concepto",26-35,0.82
L95,"Vasculitis limitada a la piel, no clasificada bajo otro concepto",36-45,0.88
L95,"Vasculitis limitada a la piel, no clasificada bajo otro concepto",46-55,1.15
L95,"Vasculitis limitada a la piel, no clasificada bajo otro concepto",56-65,1.38
L97,"Úlcera crónica no debida a presión de extremidad inferior, no clasificada bajo otro concepto",16-25,0.28
L97,"Úlcera crónica no debida a presión de extremidad inferior, no clasificada bajo otro concepto",26-35,0.6
L97,"Úlcera crónica no debida a presión de extremidad inferior, no clasificada bajo otro concepto",36-45,0.84
L97,"Úlcera crónica no debida a presión de extremidad inferior, no clasificada bajo otro concepto",46-55,1.06
L97,"Úlcera crónica no debida a presión de extremidad inferior, no clasificada bajo otro concepto",56-65,1.25
L98,"Otros trastornos de la piel y del tejido subcutáneo, no clasificados bajo otro concepto",16-25,0.66
L98,"Otros trastornos de la piel y del tejido subcutáneo, no clasificados bajo otro concepto",26-35,0.79
L98,"Otros trastornos de la piel y del tejido subcutáneo, no clasificados bajo otro concepto",36-45,0.86
L98,"Otros trastornos de la piel y del tejido subcutáneo, no clasificados bajo otro concepto",46-55,1.19
L98,"Otros trastornos de la piel y del tejido subcutáneo, no clasificados bajo otro concepto",56-65,1.63
M00,Artritis piógena (séptica) (L),16-25,0.59
M00,Artritis piógena (séptica) (L),26-35,0.8
M00,Artritis piógena (séptica) (L),36-45,0.91
M00,Artritis piógena (séptica) (L),46-55,1.13
M00,Artritis piógena (séptica) (L),56-65,1.67
M02,Artropatías postinfecciosas y reactivas,16-25,0.37
M02,Artropatías postinfecciosas y reactivas,26-35,0.68
M02,Artropatías postinfecciosas y reactivas,36-45,0.8
M02,Artropatías postinfecciosas y reactivas,46-55,0.93
M02,Artropatías postinfecciosas y reactivas,56-65,1.43
M05,Artritis reumatoide con factor reumatoide,16-25,0.44
M05,Artritis reumatoide con factor reumatoide,26-35,0.66
M05,Artritis reumatoide con factor reumatoide,36-45,0.83
M05,Artritis reumatoide con factor reumatoide,46-55,0.99
M05,Artritis reumatoide con factor reumatoide,56-65,1.35
M06,Otros tipos de artritis reumatoide,16-25,0.44
M06,Otros tipos de artritis reumatoide,26-35,0.66
M06,Otros tipos de artritis reumatoide,36-45,0.83
M06,Otros tipos de artritis reumatoide,46-55,0.99
M06,Otros tipos de artritis reumatoide,56-65,1.35
M07,Artropatías enteropáticas,16-25,0.37
M07,Artropatías enteropáticas,26-35,0.68
M07,Artropatías enteropáticas,36-45,0.8
M07,Artropatías enteropáticas,46-55,0.93
M07,Artropatías enteropáticas,56-65,1.43
M08,Artritis juvenil,16-25,0.44
M08,Artritis juvenil,26-35,0.66
M08,Artritis juvenil,36-45,0.83
M08,Artritis juvenil,46-55,0.99
M08,Artritis juvenil,56-65,1.35
M10,Gota,16-25,0.74
M10,Gota,26-35,0.67
M10,Gota,36-45,0.72
M10,Gota,46-55,0.96
M10,Gota,56-65,1.35
M11,Otras artropatías por cristales,26-35,0.59
M11,Otras artropatías por cristales,36-45,0.96
M11,Otras artropatías por cristales,46-55,0.94
M11,Otras artropatías por cristales,56-65,1.23
M12,Otras artropatías y las no especificadas,16-25,0.44
M12,Otras artropatías y las no especificadas,26-35,0.66
M12,Otras artropatías y las no especificadas,36-45,0.83
M12,Otras artropatías y las no especificadas,46-55,0.99
M12,Otras artropatías y las no especificadas,56-65,1.35
M13,Otras artritis,16-25,0.48
M13,Otras artritis,26-35,0.68
M13,Otras artritis,36-45,0.81
M13,Otras artritis,46-55,1.06
M13,Otras artritis,56-65,1.52
M15,Poliartrosis,16-25,0.54
M15,Poliartrosis,26-35,0.68
M15,Poliartrosis,36-45,0.8
M15,Poliartrosis,46-55,0.96
M15,Poliartrosis,56-65,1.09
M16,Artrosis de cadera,16-25,0.54
M16,Artrosis de cadera,26-35,0.68
M16,Artrosis de cadera,36-45,0.8
M16,Artrosis de cadera,46-55,0.96
M16,Artrosis de cadera,56-65,1.09
M17,Artrosis de rodilla,16-25,0.54
M17,Artrosis de rodilla,26-35,0.68
M17,Artrosis de rodilla,36-45,0.8
M17,Artrosis de rodilla,46-55,0.96
M17,Artrosis de rodilla,56-65,1.09
M18,Artrosis de primera articulación carpometacarpiana,16-25,0.54
M18,Artrosis de primera articulación carpometacarpiana,26-35,0.68
M18,Artrosis de primera articulación carpometacarpiana,36-45,0.8
M18,Artrosis de primera articulación carpometacarpiana,46-55,0.96
M18,Artrosis de primera articulación carpometacarpiana,56-65,1.09
M19,Otras artrosis y las no especificadas,16-25,0.54
M19,Otras artrosis y las no especificadas,26-35,0.68
M19,Otras artrosis y las no especificadas,36-45,0.8
M19,Otras artrosis y las no especificadas,46-55,0.96
M19,Otras artrosis y las no especificadas,56-65,1.09
M20,Deformidades adquiridas de los dedos de manos y pies,16-25,0.73
M20,Deformidades adquiridas de los dedos de manos y pies,26-35,0.82
M20,Deformidades adquiridas de los dedos de manos y pies,36-45,0.87
M20,Deformidades adquiridas de los dedos de manos y pies,46-55,1
M20,Deformidades adquiridas de los dedos de manos y pies,56-65,1.11
M21,Otras deformidades adquiridas de las extremidades,16-25,0.7
M21,Otras deformidades adquiridas de las extremidades,26-35,0.81
M21,Otras deformidades adquiridas de las extremidades,36-45,0.96
M21,Otras deformidades adquiridas de las extremidades,46-55,1.02
M21,Otras deformidades adquiridas de las extremidades,56-65,1.12
M22,Trastorno de rótula,16-25,0.58
M22,Trastorno de rótula,26-35,0.7
M22,Trastorno de rótula,36-45,0.83
M22,Trastorno de rótula,46-55,1.1
M22,Trastorno de rótula,56-65,1.61
M23,Trastorno interno de rodilla,16-25,0.89
M23,Trastorno interno de rodilla,26-35,0.91
M23,Trastorno interno de rodilla,36-45,0.91
M23,Trastorno interno de rodilla,46-55,1
M23,Trastorno interno de rodilla,56-65,1.23
M24,Otros trastornos especificados de articulación,16-25,0.58
M24,Otros trastornos especificados de articulación,26-35,0.7
M24,Otros trastornos especificados de articulación,36-45,0.83
M24,Otros trastornos especificados de articulación,46-55,1.1
M24,Otros trastornos especificados de articulación,56-65,1.61
M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",16-25,0.53
M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",26-35,0.7
M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",36-45,0.84
M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",46-55,1.07
M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",56-65,1.45
M31,Otras vasculopatías necrotizantes,26-35,0.36
M31,Otras vasculopatías necrotizantes,36-45,0.99
M31,Otras vasculopatías necrotizantes,46-55,0.82
M31,Otras vasculopatías necrotizantes,56-65,1.52
M32,Lupus eritematoso sistémico (LES),16-25,0.53
M32,Lupus eritematoso sistémico (LES),26-35,0.75
M32,Lupus eritematoso sistémico (LES),36-45,0.86
M32,Lupus eritematoso sistémico (LES),46-55,1.09
M32,Lupus eritematoso sistémico (LES),56-65,1.43
M33,Dermatopolimiositis,16-25,0.53
M33,Dermatopolimiositis,26-35,0.75
M33,Dermatopolimiositis,36-45,0.86
M33,Dermatopolimiositis,46-55,1.09
M33,Dermatopolimiositis,56-65,1.43
M34,Esclerosis sistémica [esclerodermia],16-25,0.53
M34,Esclerosis sistémica [esclerodermia],26-35,0.75
M34,Esclerosis sistémica [esclerodermia],36-45,0.86
M34,Esclerosis sistémica [esclerodermia],46-55,1.09
M34,Esclerosis sistémica [esclerodermia],56-65,1.43
M35,Otros tipos de afectación sistémica de tejido conectivo,16-25,0.53
M35,Otros tipos de afectación sistémica de tejido conectivo,26-35,0.75
M35,Otros tipos de afectación sistémica de tejido conectivo,36-45,0.86
M35,Otros tipos de afectación sistémica de tejido conectivo,46-55,1.09
M35,Otros tipos de afectación sistémica de tejido conectivo,56-65,1.43
M41,Escoliosis,16-25,0.57
M41,Escoliosis,26-35,0.76
M41,Escoliosis,36-45,0.99
M41,Escoliosis,46-55,1.25
M41,Escoliosis,56-65,1.54
M43,Otras dorsopatías deformantes,16-25,0.43
M43,Otras dorsopatías deformantes,26-35,0.75
M43,Otras dorsopatías deformantes,36-45,0.9
M43,Otras dorsopatías deformantes,46-55,1.02
M43,Otras dorsopatías deformantes,56-65,1.27
M45,Espondilitis anquilosante,16-25,0.47
M45,Espondilitis anquilosante,26-35,0.78
M45,Espondilitis anquilosante,36-45,0.88
M45,Espondilitis anquilosante,46-55,1.14
M45,Espondilitis anquilosante,56-65,1.29
M46,Otras espondilopatías inflamatorias,16-25,0.47
M46,Otras espondilopatías inflamatorias,26-35,0.78
M46,Otras espondilopatías inflamatorias,36-45,0.88
M46,Otras espondilopatías inflamatorias,46-55,1.14
M46,Otras espondilopatías inflamatorias,56-65,1.29
M47,Espondilosis,16-25,0.47
M47,Espondilosis,26-35,0.64
M47,Espondilosis,36-45,0.85
M47,Espondilosis,46-55,0.93
M47,Espondilosis,56-65,1.22
M48,Otras espondilopatías,16-25,0.65
M48,Otras espondilopatías,26-35,0.9
M48,Otras espondilopatías,36-45,0.89
M48,Otras espondilopatías,46-55,1.06
M48,Otras espondilopatías,56-65,1.53
M50,Trastornos de disco cervical,16-25,0.68
M50,Trastornos de disco cervical,26-35,0.76
M50,Trastornos de disco cervical,36-45,0.92
M50,Trastornos de disco cervical,46-55,1.05
M50,Trastornos de disco cervical,56-65,1.22
M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",16-25,0.68
M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",26-35,0.76
M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",36-45,0.92
M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",46-55,1.05
M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",56-65,1.22
M53,"Otras dorsopatías y las no especificadas, no clasificadas bajo otro concepto",16-25,0.64
M53,"Otras dorsopatías y las no especificadas, no clasificadas bajo otro concepto",26-35,0.74
M53,"Otras dorsopatías y las no especificadas, no clasificadas bajo otro concepto",36-45,0.95
M53,"Otras dorsopatías y las no especificadas, no clasificadas bajo otro concepto",46-55,1.29
M53,"Otras dorsopatías y las no especificadas, no clasificadas bajo otro concepto",56-65,1.76
M54,Dorsalgia,16-25,0.64
M54,Dorsalgia,26-35,0.74
M54,Dorsalgia,36-45,0.95
M54,Dorsalgia,46-55,1.29
M54,Dorsalgia,56-65,1.76
M65,Sinovitis y tenosinovitis,16-25,0.56
M65,Sinovitis y tenosinovitis,26-35,0.73
M65,Sinovitis y tenosinovitis,36-45,0.91
M65,Sinovitis y tenosinovitis,46-55,1.09
M65,Sinovitis y tenosinovitis,56-65,1.37
M66,Ruptura espontánea de membrana sinovial y tendón,16-25,0.56
M66,Ruptura espontánea de membrana sinovial y tendón,26-35,0.73
M66,Ruptura espontánea de membrana sinovial y tendón,36-45,0.91
M66,Ruptura espontánea de membrana sinovial y tendón,46-55,1.09
M66,Ruptura espontánea de membrana sinovial y tendón,56-65,1.37
M67,Otros trastornos de membrana sinovial y tendón,16-25,0.56
M67,Otros trastornos de membrana sinovial y tendón,26-35,0.73
M67,Otros trastornos de membrana sinovial y tendón,36-45,0.91
M67,Otros trastornos de membrana sinovial y tendón,46-55,1.09
M67,Otros trastornos de membrana sinovial y tendón,56-65,1.37
M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",16-25,0.42
M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",26-35,0.63
M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",36-45,0.83
M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",46-55,1.11
M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",56-65,1.52
M71,Otras bursopatías,16-25,0.56
M71,Otras bursopatías,26-35,0.73
M71,Otras bursopatías,36-45,0.91
M71,Otras bursopatías,46-55,1.09
M71,Otras bursopatías,56-65,1.37
M72,Trastornos fibroblásticos,16-25,0.57
M72,Trastornos fibroblásticos,26-35,0.68
M72,Trastornos fibroblásticos,36-45,0.9
M72,Trastornos fibroblásticos,46-55,1.17
M72,Trastornos fibroblásticos,56-65,1.78
M75,Lesiones de hombro,16-25,0.42
M75,Lesiones de hombro,26-35,0.63
M75,Lesiones de hombro,36-45,0.83
M75,Lesiones de hombro,46-55,1.11
M75,Lesiones de hombro,56-65,1.52
M76,"Entesopatías, extremidad inferior, excluido el pie",16-25,0.42
M76,"Entesopatías, extremidad inferior, excluido el pie",26-35,0.63
M76,"Entesopatías, extremidad inferior, excluido el pie",36-45,0.83
M76,"Entesopatías, extremidad inferior, excluido el pie",46-55,1.11
M76,"Entesopatías, extremidad inferior, excluido el pie",56-65,1.52
M77,Otros tipos de entesopatías,16-25,0.42
M77,Otros tipos de entesopatías,26-35,0.63
M77,Otros tipos de entesopatías,36-45,0.83
M77,Otros tipos de entesopatías,46-55,1.11
M77,Otros tipos de entesopatías,56-65,1.52
M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",16-25,0.46
M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",26-35,0.66
M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",36-45,0.86
M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",46-55,1.17
M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",56-65,1.58
M80,Osteoporosis con fractura patológica actual,16-25,0.51
M80,Osteoporosis con fractura patológica actual,26-35,0.76
M80,Osteoporosis con fractura patológica actual,36-45,0.92
M80,Osteoporosis con fractura patológica actual,46-55,1.07
M80,Osteoporosis con fractura patológica actual,56-65,1.29
M81,Osteoporosis sin fractura patológica actual,16-25,0.51
M81,Osteoporosis sin fractura patológica actual,26-35,0.76
M81,Osteoporosis sin fractura patológica actual,36-45,0.92
M81,Osteoporosis sin fractura patológica actual,46-55,1.07
M81,Osteoporosis sin fractura patológica actual,56-65,1.29
M84,Trastorno de continuidad del hueso,16-25,0.51
M84,Trastorno de continuidad del hueso,26-35,0.76
M84,Trastorno de continuidad del hueso,36-45,0.92
M84,Trastorno de continuidad del hueso,46-55,1.07
M84,Trastorno de continuidad del hueso,56-65,1.29
M85,Otros trastornos de densidad y estructura óseas,16-25,0.51
M85,Otros trastornos de densidad y estructura óseas,26-35,0.76
M85,Otros trastornos de densidad y estructura óseas,36-45,0.92
M85,Otros trastornos de densidad y estructura óseas,46-55,1.07
M85,Otros trastornos de densidad y estructura óseas,56-65,1.29
M86,Osteomielitis,16-25,0.68
M86,Osteomielitis,26-35,0.7
M86,Osteomielitis,36-45,0.92
M86,Osteomielitis,46-55,1.07
M86,Osteomielitis,56-65,1.28
M87,Osteonecrosis,16-25,0.51
M87,Osteonecrosis,26-35,0.76
M87,Osteonecrosis,36-45,0.92
M87,Osteonecrosis,46-55,1.07
M87,Osteonecrosis,56-65,1.29
M88,Osteítis deformante [enfermedad ósea de Paget],26-35,0.65
M88,Osteítis deformante [enfermedad ósea de Paget],36-45,0.95
M88,Osteítis deformante [enfermedad ósea de Paget],46-55,1.13
M88,Osteítis deformante [enfermedad ósea de Paget],56-65,1.06
M89,Otros trastornos de hueso,16-25,0.51
M89,Otros trastornos de hueso,26-35,0.76
M89,Otros trastornos de hueso,36-45,0.92
M89,Otros trastornos de hueso,46-55,1.07
M89,Otros trastornos de hueso,56-65,1.29
M93,Otras osteocondropatías,16-25,0.76
M93,Otras osteocondropatías,26-35,0.92
M93,Otras osteocondropatías,36-45,0.97
M93,Otras osteocondropatías,46-55,1.05
M93,Otras osteocondropatías,56-65,1.21
M94,Otros trastornos del cartílago,16-25,0.51
M94,Otros trastornos del cartílago,26-35,0.76
M94,Otros trastornos del cartílago,36-45,0.92
M94,Otros trastornos del cartílago,46-55,1.07
M94,Otros trastornos del cartílago,56-65,1.29
M96,"Complicaciones y trastornos intraoperatorios y posprocedimiento del aparato musculoesquelético, no clasificados bajo otro concepto",16-25,0.57
M96,"Complicaciones y trastornos intraoperatorios y posprocedimiento del aparato musculoesquelético, no clasificados bajo otro concepto",26-35,0.81
M96,"Complicaciones y trastornos intraoperatorios y posprocedimiento del aparato musculoesquelético, no clasificados bajo otro concepto",36-45,0.84
M96,"Complicaciones y trastornos intraoperatorios y posprocedimiento del aparato musculoesquelético, no clasificados bajo otro concepto",46-55,1.15
M96,"Complicaciones y trastornos intraoperatorios y posprocedimiento del aparato musculoesquelético, no clasificados bajo otro concepto",56-65,1.2
M99,"Lesiones biomecánicas, no clasificadas bajo otro concepto",26-35,0.62
M99,"Lesiones biomecánicas, no clasificadas bajo otro concepto",36-45,0.81
M99,"Lesiones biomecánicas, no clasificadas bajo otro concepto",46-55,1.07
M99,"Lesiones biomecánicas, no clasificadas bajo otro concepto",56-65,1.32
N00,Síndrome nefrítico agudo,16-25,0.38
N00,Síndrome nefrítico agudo,26-35,0.73
N00,Síndrome nefrítico agudo,36-45,0.78
N00,Síndrome nefrítico agudo,46-55,1.37
N00,Síndrome nefrítico agudo,56-65,1.56
N04,Síndrome nefrótico,16-25,0.34
N04,Síndrome nefrótico,26-35,0.8
N04,Síndrome nefrótico,36-45,0.93
N04,Síndrome nefrótico,46-55,1.08
N04,Síndrome nefrótico,56-65,1.53
N08,Trastornos glomerulares en enfermedades clasificadas bajo otro concepto,16-25,0.38
N08,Trastornos glomerulares en enfermedades clasificadas bajo otro concepto,26-35,0.78
